restaurant,rating,rating_value,rating_service,rating_food,rating_atmosphere,sentiment_score,total_reviews
Arsenal,4.790381599581809,4.545808966861599,4.805019305019305,4.727450980392157,4.896551724137931,0.7807697697107617,1913
Dubravka,4.47911886186324,4.293663060278207,4.599383667180278,4.429467084639499,4.764044943820225,0.7357064382764245,2179
Nautika,4.794564348521183,4.407862407862408,4.856796116504855,4.773722627737226,4.819444444444445,0.7159740117773691,1251
Panorama,4.672229353872486,4.278606965174129,4.703583061889251,4.578044596912521,4.844827586206897,0.7025142605694595,2337
