restaurant,country_normalized,rating,sentiment_score,count
Arsenal,Australia,4.888888888888889,0.834810405643739,72
Arsenal,Canada,4.790697674418604,0.7045588778146918,43
Arsenal,Croatia,4.861111111111111,0.782716049382716,36
Arsenal,France,4.659090909090909,0.7257575757575757,44
Arsenal,Germany,4.88,0.7934199134199135,25
Arsenal,Ireland,4.676056338028169,0.7289179521573887,71
Arsenal,Norway,4.9523809523809526,0.7978080120937263,21
Arsenal,The Netherlands,4.869565217391305,0.8608695652173913,23
Arsenal,USA,4.822349570200573,0.7895355519997355,349
Arsenal,United Kingdom,4.820388349514563,0.7853539042181247,824
Dubravka,Australia,4.438095238095238,0.703620559334845,105
Dubravka,Canada,4.25,0.7088235294117647,68
Dubravka,Croatia,4.850746268656716,0.7836294716891731,67
Dubravka,France,4.410256410256411,0.7887667887667887,39
Dubravka,Germany,4.6521739130434785,0.8730848861283644,23
Dubravka,Ireland,4.391891891891892,0.7713642213642213,74
Dubravka,Norway,4.45,0.7616666666666666,20
Dubravka,The Netherlands,4.323529411764706,0.6784313725490196,34
Dubravka,USA,4.550819672131148,0.7436898256570388,305
Dubravka,United Kingdom,4.49208025343189,0.7326835255557537,947
Nautika,Australia,4.75,0.6212481962481963,44
Nautika,Canada,4.888888888888889,0.8467078189300411,27
Nautika,Croatia,4.695652173913044,0.7297101449275362,23
Nautika,France,4.7272727272727275,0.677056277056277,11
Nautika,Germany,4.857142857142857,0.8873015873015874,14
Nautika,Ireland,4.619047619047619,0.6981447124304268,21
Nautika,Norway,4.733333333333333,0.6220634920634921,15
Nautika,The Netherlands,4.416666666666667,0.6658068783068783,12
Nautika,USA,4.821538461538461,0.7071726905573059,325
Nautika,United Kingdom,4.835955056179776,0.721995357950414,445
Panorama,Australia,4.663043478260869,0.6994565217391304,92
Panorama,Canada,4.765625,0.7952152014652014,64
Panorama,Croatia,4.916666666666667,0.8345072751322751,48
Panorama,France,4.535714285714286,0.5988095238095238,28
Panorama,Germany,4.666666666666667,0.6301587301587301,18
Panorama,Ireland,4.7032967032967035,0.7059201787223764,91
Panorama,Norway,4.571428571428571,0.61281179138322,28
Panorama,The Netherlands,4.608695652173913,0.6275362318840579,23
Panorama,USA,4.724035608308605,0.7353374782158165,337
Panorama,United Kingdom,4.686919831223629,0.6992677458500244,1185
